"""ID"";""Population"";""Sex"";""PersonalCharacteristics"";""Margins"";""Periods"";""TrafficParticipation_1"";""UseOfPublicTransport_2"""
"""0"";""A048710"";""T001038"";""T009002"";""MW00000"";""2018JJ00"";""    82.9"";""     8.6"""
"""1"";""A048710"";""T001038"";""T009002"";""MW00000"";""2019JJ00"";""    81.9"";""     8.6"""
"""2"";""A048710"";""T001038"";""T009002"";""MW00000"";""2020JJ00"";""    73.8"";""     3.9"""
"""3"";""A048710"";""T001038"";""T009002"";""MW00000"";""2021JJ00"";""    78.1"";""     4.2"""
"""4"";""A048710"";""T001038"";""T009002"";""MOG0095"";""2018JJ00"";""    82.5"";""     8.3"""
"""5"";""A048710"";""T001038"";""T009002"";""MOG0095"";""2019JJ00"";""    81.5"";""     8.3"""
"""6"";""A048710"";""T001038"";""T009002"";""MOG0095"";""2020JJ00"";""    73.4"";""     3.8"""
"""7"";""A048710"";""T001038"";""T009002"";""MOG0095"";""2021JJ00"";""    77.8"";""     4.1"""
"""8"";""A048710"";""T001038"";""T009002"";""MBG0095"";""2018JJ00"";""    83.3"";""     8.9"""
"""9"";""A048710"";""T001038"";""T009002"";""MBG0095"";""2019JJ00"";""    82.4"";""     8.8"""
"""10"";""A048710"";""T001038"";""T009002"";""MBG0095"";""2020JJ00"";""    74.2"";""     4.1"""
"""11"";""A048710"";""T001038"";""T009002"";""MBG0095"";""2021JJ00"";""    78.5"";""     4.4"""
"""12"";""A048710"";""T001038"";""51511  "";""MW00000"";""2018JJ00"";""    90.6"";""     2.1"""
"""13"";""A048710"";""T001038"";""51511  "";""MW00000"";""2019JJ00"";""    88.9"";""     1.6"""
"""14"";""A048710"";""T001038"";""51511  "";""MW00000"";""2020JJ00"";""    80.0"";""       ."""
"""15"";""A048710"";""T001038"";""51511  "";""MW00000"";""2021JJ00"";""    85.6"";""       ."""
"""16"";""A048710"";""T001038"";""51511  "";""MOG0095"";""2018JJ00"";""    89.4"";""     1.6"""
"""17"";""A048710"";""T001038"";""51511  "";""MOG0095"";""2019JJ00"";""    87.4"";""     1.2"""
"""18"";""A048710"";""T001038"";""51511  "";""MOG0095"";""2020JJ00"";""    78.5"";""       ."""
"""19"";""A048710"";""T001038"";""51511  "";""MOG0095"";""2021JJ00"";""    84.3"";""       ."""
"""20"";""A048710"";""T001038"";""51511  "";""MBG0095"";""2018JJ00"";""    91.6"";""     2.7"""
"""21"";""A048710"";""T001038"";""51511  "";""MBG0095"";""2019JJ00"";""    90.3"";""     2.1"""
"""22"";""A048710"";""T001038"";""51511  "";""MBG0095"";""2020JJ00"";""    81.4"";""       ."""
"""23"";""A048710"";""T001038"";""51511  "";""MBG0095"";""2021JJ00"";""    86.9"";""       ."""
"""24"";""A048710"";""T001038"";""52020  "";""MW00000"";""2018JJ00"";""    86.3"";""    11.7"""
"""25"";""A048710"";""T001038"";""52020  "";""MW00000"";""2019JJ00"";""    86.4"";""    10.7"""
"""26"";""A048710"";""T001038"";""52020  "";""MW00000"";""2020JJ00"";""    73.5"";""     6.3"""
"""27"";""A048710"";""T001038"";""52020  "";""MW00000"";""2021JJ00"";""    79.0"";""     6.3"""
"""28"";""A048710"";""T001038"";""52020  "";""MOG0095"";""2018JJ00"";""    85.0"";""    10.7"""
"""29"";""A048710"";""T001038"";""52020  "";""MOG0095"";""2019JJ00"";""    84.9"";""     9.7"""
"""30"";""A048710"";""T001038"";""52020  "";""MOG0095"";""2020JJ00"";""    72.0"";""     5.5"""
"""31"";""A048710"";""T001038"";""52020  "";""MOG0095"";""2021JJ00"";""    77.6"";""     5.5"""
"""32"";""A048710"";""T001038"";""52020  "";""MBG0095"";""2018JJ00"";""    87.5"";""    12.7"""
"""33"";""A048710"";""T001038"";""52020  "";""MBG0095"";""2019JJ00"";""    87.8"";""    11.9"""
"""34"";""A048710"";""T001038"";""52020  "";""MBG0095"";""2020JJ00"";""    75.0"";""     7.1"""
"""35"";""A048710"";""T001038"";""52020  "";""MBG0095"";""2021JJ00"";""    80.3"";""     7.1"""
"""36"";""A048710"";""T001038"";""53105  "";""MW00000"";""2018JJ00"";""    86.8"";""    23.8"""
"""37"";""A048710"";""T001038"";""53105  "";""MW00000"";""2019JJ00"";""    84.6"";""    24.0"""
"""38"";""A048710"";""T001038"";""53105  "";""MW00000"";""2020JJ00"";""    74.6"";""    11.9"""
"""39"";""A048710"";""T001038"";""53105  "";""MW00000"";""2021JJ00"";""    78.3"";""    14.5"""
"""40"";""A048710"";""T001038"";""53105  "";""MOG0095"";""2018JJ00"";""    85.4"";""    22.5"""
"""41"";""A048710"";""T001038"";""53105  "";""MOG0095"";""2019JJ00"";""    83.1"";""    22.6"""
"""42"";""A048710"";""T001038"";""53105  "";""MOG0095"";""2020JJ00"";""    73.2"";""    11.0"""
"""43"";""A048710"";""T001038"";""53105  "";""MOG0095"";""2021JJ00"";""    77.0"";""    13.6"""
"""44"";""A048710"";""T001038"";""53105  "";""MBG0095"";""2018JJ00"";""    88.0"";""    25.2"""
"""45"";""A048710"";""T001038"";""53105  "";""MBG0095"";""2019JJ00"";""    86.0"";""    25.4"""
"""46"";""A048710"";""T001038"";""53105  "";""MBG0095"";""2020JJ00"";""    75.9"";""    12.8"""
"""47"";""A048710"";""T001038"";""53105  "";""MBG0095"";""2021JJ00"";""    79.4"";""    15.5"""
