"""ID"";""CategoryDrivingLicence"";""AgeDrivingLicenseHolder"";""Region"";""Periods"";""PeopleWithADrivingLicence_1"""
"""0"";""A028200"";""10000"";""NL01  "";""2014JJ00"";""10658020"""
"""1"";""A028200"";""10000"";""NL01  "";""2015JJ00"";""10755934"""
"""2"";""A028200"";""10000"";""NL01  "";""2016JJ00"";""10894336"""
"""3"";""A028200"";""10000"";""NL01  "";""2017JJ00"";""10986066"""
"""4"";""A028200"";""10000"";""NL01  "";""2018JJ00"";""11070447"""
"""5"";""A028200"";""10000"";""NL01  "";""2019JJ00"";""11176150"""
"""6"";""A028200"";""10000"";""NL01  "";""2020JJ00"";""11300119"""
"""7"";""A028200"";""10000"";""NL01  "";""2021JJ00"";""11437849"""
"""8"";""A028200"";""10000"";""NL01  "";""2022JJ00"";""11444831"""
"""9"";""A028200"";""10000"";""LD01  "";""2014JJ00"";"" 1109088"""
"""10"";""A028200"";""10000"";""LD01  "";""2015JJ00"";"" 1116626"""
"""11"";""A028200"";""10000"";""LD01  "";""2016JJ00"";"" 1123980"""
"""12"";""A028200"";""10000"";""LD01  "";""2017JJ00"";"" 1129783"""
"""13"";""A028200"";""10000"";""LD01  "";""2018JJ00"";"" 1135450"""
"""14"";""A028200"";""10000"";""LD01  "";""2019JJ00"";"" 1143193"""
"""15"";""A028200"";""10000"";""LD01  "";""2020JJ00"";"" 1153519"""
"""16"";""A028200"";""10000"";""LD01  "";""2021JJ00"";"" 1166352"""
"""17"";""A028200"";""10000"";""LD01  "";""2022JJ00"";"" 1167515"""
"""18"";""A028200"";""10000"";""LD02  "";""2014JJ00"";"" 2293628"""
"""19"";""A028200"";""10000"";""LD02  "";""2015JJ00"";"" 2314614"""
"""20"";""A028200"";""10000"";""LD02  "";""2016JJ00"";"" 2340289"""
"""21"";""A028200"";""10000"";""LD02  "";""2017JJ00"";"" 2359660"""
"""22"";""A028200"";""10000"";""LD02  "";""2018JJ00"";"" 2379515"""
"""23"";""A028200"";""10000"";""LD02  "";""2019JJ00"";"" 2406311"""
"""24"";""A028200"";""10000"";""LD02  "";""2020JJ00"";"" 2436486"""
"""25"";""A028200"";""10000"";""LD02  "";""2021JJ00"";"" 2469798"""
"""26"";""A028200"";""10000"";""LD02  "";""2022JJ00"";"" 2479265"""
"""27"";""A028200"";""10000"";""LD03  "";""2014JJ00"";"" 4842894"""
"""28"";""A028200"";""10000"";""LD03  "";""2015JJ00"";"" 4893293"""
"""29"";""A028200"";""10000"";""LD03  "";""2016JJ00"";"" 4972790"""
"""30"";""A028200"";""10000"";""LD03  "";""2017JJ00"";"" 5020761"""
"""31"";""A028200"";""10000"";""LD03  "";""2018JJ00"";"" 5062605"""
"""32"";""A028200"";""10000"";""LD03  "";""2019JJ00"";"" 5112155"""
"""33"";""A028200"";""10000"";""LD03  "";""2020JJ00"";"" 5170506"""
"""34"";""A028200"";""10000"";""LD03  "";""2021JJ00"";"" 5233681"""
"""35"";""A028200"";""10000"";""LD03  "";""2022JJ00"";"" 5229871"""
"""36"";""A028200"";""10000"";""LD04  "";""2014JJ00"";"" 2381440"""
"""37"";""A028200"";""10000"";""LD04  "";""2015JJ00"";"" 2399882"""
"""38"";""A028200"";""10000"";""LD04  "";""2016JJ00"";"" 2424152"""
"""39"";""A028200"";""10000"";""LD04  "";""2017JJ00"";"" 2440371"""
"""40"";""A028200"";""10000"";""LD04  "";""2018JJ00"";"" 2455140"""
"""41"";""A028200"";""10000"";""LD04  "";""2019JJ00"";"" 2474454"""
"""42"";""A028200"";""10000"";""LD04  "";""2020JJ00"";"" 2497632"""
"""43"";""A028200"";""10000"";""LD04  "";""2021JJ00"";"" 2523873"""
"""44"";""A028200"";""10000"";""LD04  "";""2022JJ00"";"" 2524888"""
